CDBETCOND; BTWBEREKENEN; BEDRAGBTW; BTWAANGEPAST; CDBTW; CDAANMANEN; CDDAGBOEK; CDDEBITEUR; FACTSALDO; FACTDATUM; FACTNUMMER; PERIODE
14;J;225,54;N;2;J;80;D00002;1299,54;30-05-2019;GL3052019;5;
14;J;72,744;N;2;J;80;D00001;419,144;30-05-2019;WR3052019;5;
14;J;36,372;N;2;J;80;D00003;209,572;31-05-2019;MW3152019;5;
14;J;229,32;N;2;J;80;D00002;1321,32;16-06-2019;GL2019166;6;
14;J;84,11025;N;2;J;80;D00003;484,63525;16-06-2019;F3052020;6;
14;J;27,279;N;2;J;80;D00001;157,179;20-06-2019;WR2019206;6;
14;J;225,05175;N;2;J;80;D00001;1296,72675;29-06-2019;WR2962019;6;
14;J;42,84;N;2;J;80;D00002;246,84;29-06-2019;GL2962019;6;
14;J;56,83125;N;2;J;80;D00003;327,45625;29-06-2019;MB2962019;6;
14;J;61,37775;N;2;J;80;D00001;353,65275;13-07-2019;R1372019;7;
14;J;36,372;N;2;J;80;D00003;209,572;13-07-2019;MB1372019;7;
14;J;249,375;N;2;J;80;D00004;1436,875;13-07-2019;DH1372019;7;
14;J;40,9185;N;2;J;80;D00001;235,7685;26-07-2019;WR2672019;7;
14;J;170,625;N;2;J;80;D00004;983,125;26-07-2019;DH2672019;7;
14;J;105,84;N;2;J;80;D00002;609,84;26-07-2019;GL2672019;7;
14;J;40,9185;N;2;J;80;D00001;235,7685;11-08-2019;WR1182019;8;
14;J;36,372;N;2;J;80;D00003;209,572;11-08-2019;MB1182019;8;
14;J;332,64;N;2;J;80;D00002;1916,64;11-08-2019;GL1182019;8;
14;J;44,625;N;2;J;80;D00004;257,125;11-08-2019;DH1182019;8;
14;J;246,96;N;2;J;80;D00002;1422,96;23-08-2019;GL2382019;8;
14;J;68,1975;N;2;J;80;D00001;392,9475;23-08-2019;WR2382019;8;
14;J;72,744;N;2;J;80;D00003;419,144;23-08-2019;MB2382019;8;
14;J;42;N;2;J;80;D00004;242;08-09-2019;DH0892019;9;
14;J;211,68;N;2;J;80;D00002;1219,68;08-09-2019;GL0892019;9;
14;J;40,32;N;2;J;80;D00003;232,32;08-09-2019;MB0892019;9;
14;J;31,605;N;2;J;80;D00001;182,105;09-09-2019;WR0992019;9;
14;J;72,24;N;2;J;80;D00001;416,24;19-09-2019;WR1992019;9;
14;J;36,12;N;2;J;80;D00003;208,12;19-09-2019;MB1992019;9;
14;J;321,3;N;2;J;80;D00002;1851,3;19-09-2019;GL1992019;9;
14;J;197,53125;N;2;J;80;D00001;1138,15625;06-10-2019;WR6102019;10;
14;J;185,115;N;2;J;80;D00006;1066,615;06-10-2019;ER6102019;10;
14;J;295,7325;N;2;J;80;D00005;1703,9825;06-10-2019;F6102020;10;
14;J;79,0125;N;2;J;80;D00003;455,2625;09-10-2019;MB91022019;10;
14;J;22,575;N;2;J;80;D00001;130,075;22-10-2019;WR221019;10;
14;J;24,8325;N;2;J;80;D00006;143,0825;22-10-2019;ER221019;10;
14;J;163,8;N;2;J;80;D00002;943,8;22-10-2019;GL221019;10;
14;J;47,4075;N;2;J;80;D00003;273,1575;22-10-2019;MB221019;10;
14;J;72,24;N;2;J;80;D00001;416,24;03-11-2019;WR3112019;11;
14;J;42,8925;N;2;J;80;D00003;247,1425;03-11-2019;MB3112019;11;
14;J;371,7;N;2;J;80;D00002;2141,7;03-11-2019;GL3112019;11;
14;J;72,24;N;2;J;80;D00001;416,24;17-11-2019;WR171119;11;
14;J;22,575;N;2;J;80;D00003;130,075;17-11-2019;MB171119;11;
14;J;237,6;N;2;J;80;D00002;1227,6;17-11-2019;GL171119;11;
14;J;340,2;N;2;J;80;D00002;1960,2;09-12-2019;GL09122019;12;
14;J;72,24;N;2;J;80;D00001;416,24;16-12-2019;WR16122019;12;
14;J;36,12;N;2;J;80;D00003;208,12;16-12-2019;MB16122019;12;
14;J;10,5;N;2;J;80;D00002;60,5;16-12-2019;GL16122019;12;
14;J;1020,6;N;2;J;80;D00002;5880,6;26-04-2020;GL26042020;4;
14;J;153,51;N;2;J;80;D00003;884,51;26-04-2020;MB2642020;4;
14;J;307,02;N;2;J;80;D00001;1769,02;26-04-2020;WR2642020;4;
14;J;351,54;N;2;J;80;D00002;2025,54;10-05-2020;GL10052020;5;
14;J;72,24;N;2;J;80;D00001;416,24;10-05-2020;WR10052020;5;
14;J;36,12;N;2;J;80;D00003;208,12;10-05-2020;MB10052020;5;
14;J;47,25;N;2;J;80;D00007;272,25;17-05-2020;SH17052020;5;
14;J;21;N;2;J;80;D00004;121;24-05-2020;24052020;5;
14;J;270,9;N;2;J;80;D00002;1560,9;24-05-2020;GL24052020;5;
14;J;97,0725;N;2;J;80;D00003;559,3225;24-05-2020;MB24052020;5;
14;J;36,12;N;2;J;80;D00001;208,12;24-05-2020;WR24052020;5;
14;J;13,545;N;2;J;80;D00005;78,045;24-05-2020;RR24052020;5;
14;J;330,12;N;2;J;80;D00002;1902,12;06-06-2020;GL6062020;6;
14;J;72,24;N;2;J;80;D00003;416,24;06-06-2020;MB6062020;6;
14;J;36,12;N;2;J;80;D00001;208,12;06-06-2020;WR6062020;6;
14;J;27,3;N;2;J;80;D00008;157,3;20-06-2020;RB2062020;6;
14;J;72,24;N;2;J;80;D00001;416,24;20-06-2020;WR2062020;6;
14;J;322,56;N;2;J;80;D00002;1858,56;20-06-2020;GL2062020;6;
14;J;83,895;N;2;J;80;D00003;483,395;20-06-2020;MB2062020;6;
14;J;72,24;N;2;J;80;D00001;416,24;03-07-2020;WR3072020;7;
14;J;253,26;N;2;J;80;D00002;1459,26;03-07-2020;GL3072020;7;
